step,complexity,noise,solved,failed,time,overload,crisis_mode,avg_crisis,I,C,Ccrit
0,0.7214719309783779,0.10100630209250025,1,0,1.00848,0.0,0,0.0,0.0424,0.0,0.08
1,0.9570936276638426,0.24400023505971022,1,0,1.1457795121927739,0.1411421305783651,0,0.0,0.08319046219147219,0.6470198660012655,0.14470198660012656
2,0.711582110304176,-0.010686177328803753,1,0,1.012959203123252,0.0,0,0.0,0.06479601561626008,0.0,0.12058799392656513
3,1.010618391431052,0.12262360876981898,1,0,1.0864235261588164,0.07605761522193855,0,0.0,0.08410146136599865,0.28405488988046235,0.124762441298434
4,1.1200240294899142,0.11912458194017925,1,0,1.1238276628573403,0.08915817049468533,0,0.0,0.20173856946599403,0.9150729335830685,0.15147730128639836
5,1.0883233954455223,0.20724612918765664,1,0,1.1186015747849591,0.0,0,0.0,0.5930078739247955,1.3977815022701332,0.18296215553577272
6,1.1006155748951707,0.1346083385977,1,0,1.1839061228422685,0.0,0,0.0,0.9195306142113426,0.8852846316624239,0.208832655565526
7,0.7939604476207562,0.14568171227193968,1,0,1.1783829590801183,0.0,0,0.0,0.8919147954005918,0.0,0.18660834001489024
8,0.716441926154078,0.2267045411409486,1,0,1.171082424609332,0.0,0,0.0,0.8554121230466607,0.0,0.1893237278851767
9,0.9197928995407618,0.2259050753443351,1,0,1.1783305435963332,0.0,0,0.0,0.891652717981666,0.33964639816989295,0.19313951093473714
10,1.3469846290127834,-0.01591013551587643,1,0,1.2,0.0,0,0.0,1.0,1.753765123907736,0.2212108657638484
11,1.1468903318671626,0.27172691928337833,1,0,1.2,0.0,0,0.0,1.0,2.8038464473733624,0.2630125443284054
12,1.4830127654597214,0.1054350186518355,1,0,1.2,0.0,0,0.0,1.0,5.540332714012825,0.4114151694360438
13,0.9138708550617112,0.12298021476884102,1,0,1.2,0.0,0,0.0,1.0,0.02172802156249975,0.400230944320773
14,1.0667626842911455,0.2505899239921422,1,0,1.2,0.0,0,0.0,1.0,1.6114028477472948,0.46113788769109015
15,1.3378699965152812,-0.09010427937568943,1,0,1.2,0.0,0,0.0,1.0,0.9822056094351388,0.48325988432585365
16,1.2992258467787599,0.06888699856604394,1,0,1.2,0.0,0,0.0,1.0,2.168113070525558,0.49948583031571164
17,1.1564075592567848,0.09938203354843042,1,0,1.2,0.0,0,0.0,1.0,1.0468530525993247,0.43900327704834685
18,0.9711405159218298,0.2000587161384664,1,0,1.2,0.0,0,0.0,1.0,0.4689468329285624,0.27203473329910677
19,1.0100991481934494,0.09641228436871888,1,0,1.2,0.0,0,0.0,1.0,0.1815149642631253,0.2807212774953296
20,1.2000527822583291,0.0034573729171684386,1,0,1.2,0.0,0,0.0,1.0,0.662662132152882,0.2525390764258513
21,0.9019796903312212,0.2704932480521901,1,0,1.2,0.0,0,0.0,1.0,0.4759506315937283,0.2364841669313081
22,0.9375139795822625,0.10719489397160156,1,0,1.2,0.0,0,0.0,1.0,0.03198213399128654,0.16651880339176284
23,0.6652256827452014,-0.010190052491944088,1,0,1.2,0.0,0,0.0,1.0,0.0,0.13411580542193066
24,0.7273993111467311,-0.08044491719387398,1,0,1.2,0.0,0,0.0,1.0,0.0,0.12040100526880043
25,1.0727975838924193,0.25472986301923706,1,0,1.2,0.0,0,0.0,1.0,1.716387655687487,0.1729348604428882
26,0.7115458282111922,0.14892387816133953,1,0,1.2,0.0,0,0.0,1.0,0.0,0.14543280089180877
27,0.9320241934466923,0.0928452458509986,1,0,1.2,0.0,0,0.0,1.0,0.009895824175704535,0.13240638834806084
28,0.7873563610745762,0.25436848438386095,1,0,1.2,0.0,0,0.0,1.0,0.02785540365648739,0.13403990162906135
29,1.026002304408136,0.08271853826732387,1,0,1.2,0.0,0,0.0,1.0,0.18912354611299323,0.14154003519951192
30,0.931643621837452,0.27178587603456394,1,0,1.2,0.0,0,0.0,1.0,0.6621369696713685,0.16383641395436394
31,1.2423353730687494,0.11825290695132754,1,0,1.2,0.0,0,0.0,1.0,2.0803825230053996,0.1743243824904242
32,0.9858776319119944,0.16790157257979285,1,0,1.2,0.0,0,0.0,1.0,0.3783686997460303,0.1807255837359507
33,0.8345763678020919,0.21992080106396386,1,0,1.2,0.0,0,0.0,1.0,0.047519062630646466,0.1837211524372455
34,0.9511397676094929,0.0915571624186465,1,0,1.2,0.0,0,0.0,1.0,0.02916844534124539,0.18621294517697473
35,1.18067005754388,0.07322673261920018,1,0,1.2,0.0,0,0.0,1.0,1.031417280881843,0.2161220846074399
36,0.8266244865887254,0.007614374188413861,1,0,1.2,0.0,0,0.0,1.0,0.0,0.1916234619655956
37,0.6698655582212377,0.16225708389890695,1,0,1.2,0.0,0,0.0,1.0,0.0,0.12438661106226913
38,1.0083639292150939,0.08329098166092316,1,0,1.2,0.0,0,0.0,1.0,0.1344099630030498,0.11776740861342186
39,0.9637332853389875,0.09580701100807146,1,0,1.2,0.0,0,0.0,1.0,0.0567207502255298,0.11863261241989873
40,1.4049279366316805,0.09422765513258011,1,0,1.2,0.0,0,0.0,1.0,3.986500876632465,0.25123791987818
41,1.2719947707612322,0.2231837106771156,1,0,1.2,0.0,0,0.0,1.0,3.9232276556734096,0.3341903648933512
42,1.3161560476203449,0.23256116893908127,1,0,1.2,0.0,0,0.0,1.0,4.817449339979586,0.48695178607910783
43,1.1733566033614695,-0.0606504039810567,1,0,1.2,0.0,0,0.0,1.0,0.20324299806043788,0.486577371738202
44,1.3706166850205883,0.10606933313259823,1,0,1.2,0.0,0,0.0,1.0,3.63567295844384,0.6104370489580595
45,1.2648060633971698,0.28690711386733214,1,0,1.2,0.0,0,0.0,1.0,4.87019887947667,0.7667308407528665
46,1.4012931155026864,-0.0742819379313343,1,0,1.2,0.0,0,0.0,1.0,1.7109809641056393,0.6851942491460817
47,1.0595638350843188,-0.06133498193446814,1,0,1.2,0.0,0,0.0,1.0,0.0,0.5581527193675756
48,1.3307929601017692,0.07975792561912742,1,0,1.2,0.0,0,0.0,1.0,2.696832476259403,0.4949911501507447
49,0.6584195260353475,-0.09991441234579589,1,0,1.2,0.0,0,0.0,1.0,0.0,0.48611142682895947
50,0.9983839953538352,0.27287133585320444,1,0,1.2,0.0,0,0.0,1.0,1.177271275331852,0.4105650986714095
51,0.6998393398976342,0.21750824212667855,1,0,1.2,0.0,0,0.0,1.0,0.0,0.2493102473817025
52,0.7987025668657671,0.14842986477809866,1,0,1.2,0.0,0,0.0,1.0,0.0,0.19692339064460965
53,1.1011130029549387,0.28254675647180216,1,0,1.2,0.0,0,0.0,1.0,2.355116976054154,0.27888131039769315
54,1.0510862786665323,0.1541633944429476,1,0,1.2,0.0,0,0.0,1.0,0.6740388529847741,0.20578279921560233
55,0.742856542789032,0.02537709374601041,1,0,1.2,0.0,0,0.0,1.0,0.0,0.20750839917448116
56,0.9998392637414497,0.20781112589300607,1,0,1.2,0.0,0,0.0,1.0,0.6898989490454602,0.19484644623844544
57,1.2199613371224718,0.0967955669455427,1,0,1.2,0.0,0,0.0,1.0,1.6053589803960533,0.24848789770766075
58,1.082283580023856,-0.04605416492878316,1,0,1.2,0.0,0,0.0,1.0,0.02100112829009745,0.24609769476255222
59,0.7837566024347403,0.13517380693917355,1,0,1.2,0.0,0,0.0,1.0,0.0,0.17093839850358775
60,1.224966476551308,0.2503975173608852,1,0,1.2,0.0,0,0.0,1.0,3.615534827330426,0.2715044417631769
61,0.9528328342319137,-0.06622671658462606,1,0,1.2,0.0,0,0.0,1.0,0.0,0.26081716816538586
62,1.0511329240804381,0.27402236501975696,1,0,1.2,0.0,0,0.0,1.0,1.691615392477302,0.29886599140713443
63,1.1200627749372027,0.26600645657190436,1,0,1.2,0.0,0,0.0,1.0,2.384791224288519,0.3225354758043879
64,0.8336025961087729,0.06481565949442178,1,0,1.2,0.0,0,0.0,1.0,0.0,0.31808880396420636
65,1.1347969955885544,0.1080123686996334,1,0,1.2,0.0,0,0.0,1.0,0.9433021981765429,0.354534578600579
66,0.7680182667494097,-0.09434725058429093,1,0,1.2,0.0,0,0.0,1.0,0.0,0.23451293870504508
67,0.713680364441937,0.25510830305049814,1,0,1.2,0.0,0,0.0,1.0,0.0,0.23812425842005042
68,0.6808252237758032,0.03880713774643074,1,0,1.2,0.0,0,0.0,1.0,0.0,0.1843798834433168
69,0.8620416846925483,0.20781349523386713,1,0,1.2,0.0,0,0.0,1.0,0.07807593860082973,0.10939781697862694
70,0.9175517105352451,0.031104021319134423,1,0,1.2,0.0,0,0.0,1.0,0.0,0.11046425326733153
71,1.0474115822678478,-0.051450861997694775,1,0,1.2,0.0,0,0.0,1.0,0.0,0.08007817936490141
72,1.4835929423844134,0.22197544625620128,1,0,1.2,0.0,0,0.0,1.0,7.965228016782618,0.34633460530703253
73,0.9962570965003537,0.07344302720827775,1,0,1.2,0.0,0,0.0,1.0,0.0777297159199764,0.3235826657021194
74,1.1214952388551507,0.17139932129050098,1,0,1.2,0.0,0,0.0,1.0,1.3725955738066358,0.376096281159232
75,0.9215364987793782,-0.021802426435856684,1,0,1.2,0.0,0,0.0,1.0,0.0,0.3746663780811138
76,1.361920589459423,0.11790657618926997,1,0,1.2,0.0,0,0.0,1.0,3.683745742311332,0.5026719641494953
77,1.3937523529122138,0.20188387823358991,1,0,1.2,0.0,0,0.0,1.0,5.676520317657236,0.6840372304907849
78,1.0553066747339916,0.2511267603053744,1,0,1.2,0.0,0,0.0,1.0,1.5024232017604058,0.4586271200472545
79,0.7274838670148804,0.1119746214709387,1,0,1.2,0.0,0,0.0,1.0,0.0,0.4598895001162084
80,1.1212453702807412,0.10674106447284126,1,0,1.2,0.0,0,0.0,1.0,0.8316450309063924,0.4490220990747743
81,1.2239524743157109,-0.035843728002241546,1,0,1.2,0.0,0,0.0,1.0,0.5661584070340031,0.47084860054840877
82,1.156624835070991,0.055988574841043054,1,0,1.2,0.0,0,0.0,1.0,0.7232713931907618,0.3751811099218937
83,0.9052125656590353,0.06563471516384464,1,0,1.2,0.0,0,0.0,1.0,0.0,0.1876336247014115
84,0.6971952887617887,0.021963704190250552,1,0,1.2,0.0,0,0.0,1.0,0.0,0.14125291500207193
85,0.8564395837844683,0.005377475809798374,1,0,1.2,0.0,0,0.0,1.0,0.0,0.14396414870063662
86,0.9485614508356601,0.21209922079740165,1,0,1.2,0.0,0,0.0,1.0,0.41298962255338445,0.13196859092247978
87,0.8994424355968993,0.08708015137005529,1,0,1.2,0.0,0,0.0,1.0,0.0,0.11293346105377201
88,0.8454735615223725,0.09282111360008388,1,0,1.2,0.0,0,0.0,1.0,0.0,0.09027404217484275
89,0.7220633724059992,0.21864098764866272,1,0,1.2,0.0,0,0.0,1.0,0.0,0.0913054078571055
90,1.1280271989427477,0.22646093694736372,1,0,1.2,0.0,0,0.0,1.0,2.0105894157895388,0.15905527242968578
91,1.1587219650193945,-0.007466074809712703,1,0,1.2,0.0,0,0.0,1.0,0.3660535091699735,0.16423722089113768
92,1.2222043265094737,0.2514483077946712,1,0,1.2,0.0,0,0.0,1.0,3.589549087732097,0.2713042184680219
93,1.0374075248708226,0.06320098502951904,1,0,1.2,0.0,0,0.0,1.0,0.16195315622987394,0.26663474993253955
94,1.119988303632533,0.23979738308910678,1,0,1.2,0.0,0,0.0,1.0,2.071131845916191,0.33996846773921185
95,1.0522393756320394,0.28447944828028915,1,0,1.2,0.0,0,0.0,1.0,1.8140730620304264,0.3972610026638411
96,0.8611700960094048,-0.03729635074227536,1,0,1.2,0.0,0,0.0,1.0,0.0,0.3289018744784525
97,0.9872015268526546,0.1289328986162037,1,0,1.2,0.0,0,0.0,1.0,0.21579527646370894,0.32878521090025115
98,0.9730272436881473,-0.05612259918217535,1,0,1.2,0.0,0,0.0,1.0,0.0,0.2120267140556245
99,1.079607523741449,0.1223199032284207,1,0,1.2,0.0,0,0.0,1.0,0.6523949722027541,0.2312553167768786
100,1.18371192032508,0.017880048045013502,1,0,1.2,0.0,0,0.0,1.0,0.6502291473812606,0.1835749312159401
101,1.0720072554700675,-0.05941770439881005,1,0,1.2,0.0,0,0.0,1.0,0.0025359487388128044,0.12297713526487064
102,1.1492027666052358,-0.0314899650036224,1,0,1.2,0.0,0,0.0,1.0,0.22170085857441257,0.13259241162723667
103,1.3625509210490163,0.18894332588409515,1,0,1.2,0.0,0,0.0,1.0,4.866334470405115,0.28837930294481073
104,1.037314419514169,0.10265067909226092,1,0,1.2,0.0,0,0.0,1.0,0.3134436612465229,0.28365851324530933
105,1.1335498896662006,0.016414460336619335,1,0,1.2,0.0,0,0.0,1.0,0.359828900348293,0.2782716504371939
106,1.0409327324335227,-0.07484836872258627,1,0,1.2,0.0,0,0.0,1.0,0.0,0.25968353116443277
107,1.2265962146288012,0.21071171837163574,1,0,1.2,0.0,0,0.0,1.0,3.0598116522418355,0.3651077671146288
108,1.0518029525184778,-0.0614200346612174,1,0,1.2,0.0,0,0.0,1.0,0.0,0.34983991092888084
109,0.6637866227772177,-0.05079187424817642,1,0,1.2,0.0,0,0.0,1.0,0.0,0.19226171110878232
110,1.0614959086232405,0.13059242066168655,1,0,1.2,0.0,0,0.0,1.0,0.5903668199595935,0.2049361996730648
111,1.2116666549031772,0.040122727498335925,1,0,1.2,0.0,0,0.0,1.0,1.0143662894421668,0.22712209658629262
112,1.1178540637614343,0.14290202446498768,1,0,1.2,0.0,0,0.0,1.0,1.0878998007543286,0.2621359917391779
113,1.042830260310544,0.14605793368223563,1,0,1.2,0.0,0,0.0,1.0,0.5708599972776628,0.17805416711865818
114,1.2048463764974051,0.026425491594629424,1,0,1.2,0.0,0,0.0,1.0,0.8557868315324704,0.20760316274819857
115,0.7793817367884104,0.0850679380480169,1,0,1.2,0.0,0,0.0,1.0,0.0,0.207323487581368
116,1.2374672696408,0.25136128103566246,1,0,1.2,0.0,0,0.0,1.0,3.8232536313032135,0.3179436206179015
117,1.0618780778682837,0.24452030808109573,1,0,1.2,0.0,0,0.0,1.0,1.5020795345981588,0.32323010161240084
118,1.0588422178072723,0.26949280873411163,1,0,1.2,0.0,0,0.0,1.0,1.7248622344628992,0.344576445677755
119,0.8834283826882305,0.27882544939761056,1,0,1.2,0.0,0,0.0,1.0,0.4212208964246451,0.33898073707958576
