seed,model,success,failure,avg_time
2026,baseline,0.675000,0.325000,1.164492
2026,metaslayer_simple,0.891667,0.108333,1.173460
2026,metaslayer_real_I,1.000000,0.000000,1.193398
2026,metaslayer_soft,1.000000,0.000000,1.099730
2027,baseline,0.733333,0.266667,1.141333
2027,metaslayer_simple,0.908333,0.091667,1.142567
2027,metaslayer_real_I,0.991667,0.008333,1.185972
2027,metaslayer_soft,0.991667,0.008333,1.098057
2028,baseline,0.700000,0.300000,1.161649
2028,metaslayer_simple,0.908333,0.091667,1.168156
2028,metaslayer_real_I,1.000000,0.000000,1.189902
2028,metaslayer_soft,0.983333,0.016667,1.099111
2029,baseline,0.658333,0.341667,1.159916
2029,metaslayer_simple,0.916667,0.083333,1.179337
2029,metaslayer_real_I,1.000000,0.000000,1.198889
2029,metaslayer_soft,0.991667,0.008333,1.098666
2030,baseline,0.733333,0.266667,1.152428
2030,metaslayer_simple,0.916667,0.083333,1.151810
2030,metaslayer_real_I,1.000000,0.000000,1.189391
2030,metaslayer_soft,0.991667,0.008333,1.098500
2041,baseline,0.675000,0.325000,1.160235
2041,metaslayer_simple,0.908333,0.091667,1.166106
2041,metaslayer_real_I,1.000000,0.000000,1.188571
2041,metaslayer_soft,0.991667,0.008333,1.099136
2042,baseline,0.691667,0.308333,1.151489
2042,metaslayer_simple,0.900000,0.100000,1.167081
2042,metaslayer_real_I,1.000000,0.000000,1.187495
2042,metaslayer_soft,0.991667,0.008333,1.098072
2043,baseline,0.650000,0.350000,1.165703
2043,metaslayer_simple,0.908333,0.091667,1.180290
2043,metaslayer_real_I,1.000000,0.000000,1.198841
2043,metaslayer_soft,0.991667,0.008333,1.099446
2044,baseline,0.650000,0.350000,1.154170
2044,metaslayer_simple,0.900000,0.100000,1.147337
2044,metaslayer_real_I,0.991667,0.008333,1.188833
2044,metaslayer_soft,0.966667,0.033333,1.101181
2045,baseline,0.658333,0.341667,1.160831
2045,metaslayer_simple,0.891667,0.108333,1.164710
2045,metaslayer_real_I,1.000000,0.000000,1.193865
2045,metaslayer_soft,0.991667,0.008333,1.100164
